node_u,node_v,length
42600920,42601288,62.43791566362164
1092747740,844465978,14.888093762309635
42570204,42570523,92.05402926271032
42602973,42602255,53.199336965391424
42602973,4165915406,11.826992801832844
42602975,42604176,59.47750658458822
42602975,42603244,77.2299159705988
42592745,42593052,61.60132361744574
42592745,42592251,72.11174073515014
42598889,29658722,49.22102409934125
42598889,42600258,97.36826401929872
42574317,42574896,65.04276841642749
42578415,42577394,64.8457167305882
42578415,42579645,54.15403939922116
945859060,42591419,28.02929721174713
945859060,1013891862,77.71129851800379
8573053443,42598925,5.961584384650725
8573053443,8573053445,19.26554183680204
8573053445,42599591,5.470096070985381
8573053446,42596018,128.4061826322418
42592778,42593418,74.72158044739483
59935243,42560910,32.80726882641245
8573053454,42595095,67.18813855395138
8573053454,42595357,97.20114136381412
42607130,42606506,90.1414158278213
42607130,42607179,99.4317507593419
42576437,42575219,66.21434621099816
42576437,42576732,12.27168731231561
42570294,42570881,21.261230043196207
3860904521,42585431,111.1849342735596
42607179,42607704,99.15243507165144
42572366,42570523,83.21797070119956
42572366,42573708,53.03498713730968
42592848,42591087,85.71337822688318
42592848,42595473,129.71515712922132
3860904530,42591135,10.50516247268121
3860904530,3860904531,13.011089974111696
3860904531,42591290,10.321554604780614
3860904531,1013891862,112.48871077815132
42580565,42578673,90.21864828073348
42605158,42603847,60.2401178047241
42605158,42605408,55.02463760843339
42580601,42578582,88.4794884832608
42580601,42580621,92.4825350731013
42580601,42580714,68.88985729062816
42599039,42598169,44.21726900069214
42599039,42598357,72.27129688108518
42599039,42599645,27.665263267567
29321863,42578786,20.249359461006
29321863,42578583,52.6951535615732
42572424,4838683655,88.58133970474017
42572424,5230378591,65.35337118611544
42580621,42578786,77.70533238297575
42578582,42578583,20.90348655223433
42578582,42578601,27.363103004195228
1480094363,42583811,70.25539291035928
1480094363,42586790,41.440020094436434
1480094363,42587286,18.322020640168976
1480094363,42588943,83.2689619566055
42601122,42599629,77.0672943684578
42601122,42601586,17.006651485764603
42582693,42582740,10.0340970633649
42586790,42586947,70.12809247764326
238240424,42595097,64.5290864944345
238240424,1012358656,65.72629338975035
42578601,42578618,53.67051544431411
10869250735,10869222372,55.68573476291019
10869250735,10869274436,17.9726138487354
929008303,3270216664,63.18812413502125
929008303,1012358598,58.82975934951192
42597039,42595344,119.02935414060644
42597039,42598355,83.77362946628037
1480094389,8563458761,30.051450343420587
1480094389,8563458760,29.993250841568845
42578618,42578887,67.95408161668402
42578618,42580714,87.5213065463922
42570426,42571154,29.15470418234769
42570426,6899721732,76.86841623344822
12181021376,42562419,58.68526712947983
42578629,42577336,64.85096897120732
42578629,42578885,30.02236018993344
42609349,42609639,14.422751244488603
42609349,42609407,15.992761527190355
8563458760,42585238,88.60213703385104
8563458761,42580977,115.58924657588048
12181039819,42562993,69.09955133528665
12181039819,12181039821,66.49292958208164
12181039821,42562993,16.04588401583078
12181039821,2666215178,50.10016397132309
2563799759,5230378585,9.53240208462266
2563799759,5230378581,30.644333605568093
2563799759,5230378583,9.752444262855452
42582740,42582984,70.01540292097481
42595031,42593747,63.07012695771259
42595033,42595227,18.5300585642271
10869250779,42575506,54.05269603545767
2563799770,5230378591,25.752856085448304
2563799770,5230378589,8.291677502042155
2563799770,5230378586,8.375225492105944
42592990,42591939,51.78593477129704
42592990,42593667,71.15083871901187
42592991,42592251,26.395067378601755
42603234,42603578,52.93567791282892
42603234,42603847,91.09942979778958
42603234,42605408,99.75584880859957
42595045,8563512336,14.680002051465944
42595045,1012358656,24.45603613277011
42595045,8563512342,9.737524918965612
42580714,42580976,90.1395825163018
42603244,42601586,76.30870523982693
42603244,6359350872,31.766792232410705
42578672,42579114,101.54984701826152
42586866,42585238,84.35411747303799
42586866,42587858,56.341142926808864
42586868,42586947,68.94593279442543
42590968,42591087,16.08849467152203
42570489,10869222373,13.671746737668098
42570490,6899721732,7.716436263242567
42570490,59936193,67.07589042732138
42599161,42597259,80.00512425803397
42599161,42599245,16.669926725586855
42609407,42609679,12.747689326187317
42584839,42583635,85.23512004418382
42584839,42585235,18.800586219967645
42584839,42585257,132.4432086376278
42599179,42599629,72.70317851574828
4165915406,42604116,48.22434275381519
42588943,42589048,17.60879399685341
42588943,42589778,42.15885806017955
42582802,42581702,40.78548798401623
42582802,42583635,38.61252741824924
42595095,42593667,72.59186191869921
